distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,consumption
"11,8","4,3",37,20.0,6,SP98,0,0,0,13.483050847457626
"12,2","5,8",60,20.0,11,SP98,0,0,0,28.524590163934427
"12,5",4,51,20.0,13,SP98,0,0,0,16.32
"12,4","4,7",43,,10,SP98,0,0,0,16.298387096774192
"11,8","5,9",21,20.0,9,SP98,1,1,0,10.5
"11,8","5,3",52,,11,SP98,0,0,0,23.35593220338983
"12,5","4,2",57,20.0,11,SP98,0,0,0,19.152
"15,7","5,3",33,,9,SP98,0,0,0,11.140127388535031
"12,9","5,7",35,,9,SP98,0,0,0,15.465116279069768
"6,4","4,4",37,,10,SP98,0,0,0,25.4375
"5,3","4,1",34,,9,SP98,0,0,0,26.301886792452827
"26,2","5,8",71,21.0,8,SP98,1,1,0,15.717557251908397
"18,8",5,62,,9,SP98,0,1,0,16.48936170212766
"4,9","6,9",25,21.0,12,SP98,0,1,0,35.204081632653065
"12,4","5,4",18,21.0,11,SP98,1,1,0,7.838709677419355
"22,9","5,3",45,20.5,7,SP98,0,0,0,10.414847161572053
"162,7","5,5",75,23.0,1,SP98,0,0,0,2.535341118623233
"4,9","6,5",26,21.0,1,SP98,0,0,0,34.48979591836734
"11,8","4,7",36,21.0,4,SP98,0,0,0,14.338983050847457
"16,6","5,1",56,21.0,7,SP98,0,0,0,17.20481927710843
"12,4","5,7",37,21.0,7,SP98,0,0,0,17.008064516129032
"15,9","5,4",25,21.0,7,SP98,0,0,0,8.49056603773585
"5,1","8,7",21,23.5,5,SP98,0,0,0,35.8235294117647
"22,4","4,9",66,20.5,7,SP98,0,0,0,14.437500000000002
"31,1","4,7",42,20.5,7,SP98,0,0,0,6.347266881028938
"4,9","6,3",27,20.5,3,SP98,0,0,0,34.71428571428571
"11,8","5,1",26,23.0,4,SP98,0,1,0,11.23728813559322
"22,9",6,42,23.0,4,SP98,0,1,0,11.004366812227074
"12,4","4,6",38,23.0,1,SP98,0,1,0,14.096774193548384
"12,9","5,8",40,23.0,4,SP98,0,0,0,17.984496124031008
"11,8","5,1",43,23.0,0,SP98,0,0,0,18.58474576271186
"12,2","5,8",58,23.0,2,SP98,0,0,0,27.57377049180328
"24,8","4,6",55,23.0,3,SP98,0,0,0,10.201612903225804
"14,2","5,6",24,23.0,8,SP98,0,0,0,9.464788732394366
"11,8","4,6",38,23.0,0,SP98,0,1,0,14.813559322033896
"12,2","6,3",57,23.0,0,SP98,0,1,0,29.434426229508198
"24,7","5,5",56,25.0,1,SP98,0,0,0,12.469635627530366
"6,8","4,3",46,24.0,2,SP98,0,0,0,29.088235294117645
"17,3","5,6",37,21.5,1,SP98,0,0,0,11.976878612716762
"11,8","4,3",44,21.5,-3,SP98,0,0,0,16.033898305084744
"15,9","5,7",46,21.5,5,SP98,0,0,0,16.49056603773585
"5,1","6,4",39,21.5,4,SP98,0,0,0,48.941176470588246
"16,1","4,5",33,21.5,6,SP98,0,0,0,9.22360248447205
"11,8","4,5",43,21.5,3,SP98,0,0,0,16.39830508474576
"4,2",6,26,21.5,5,SP98,0,0,0,37.142857142857146
"17,4","5,1",30,21.5,5,SP98,0,0,0,8.793103448275863
"23,5",6,25,21.5,5,SP98,0,1,0,6.382978723404255
"11,8","4,5",38,21.5,5,SP98,0,1,0,14.491525423728813
"12,3","6,1",61,21.5,10,SP98,0,1,0,30.252032520325198
"16,1","5,4",24,21.5,7,E10,0,1,0,8.049689440993788
"11,8","4,3",40,21.5,10,E10,0,1,0,14.576271186440676
"12,3","5,4",58,21.5,13,E10,0,0,0,25.463414634146343
"12,4","4,3",49,21.5,17,E10,0,0,0,16.991935483870968
7,"5,2",25,21.5,17,E10,0,0,0,18.571428571428573
"11,8","4,1",37,21.5,10,E10,0,0,0,12.855932203389829
"20,1","4,4",41,21.5,18,E10,0,0,0,8.975124378109452
"20,8","4,5",45,21.5,10,E10,0,0,0,9.735576923076922
"1,7","10,8",14,21.5,10,E10,0,1,0,88.94117647058825
"35,9","4,7",45,21.5,12,E10,0,0,0,5.8913649025069645
"36,9","4,8",52,21.5,5,E10,0,0,0,6.764227642276423
"16,8",4,46,21.5,8,E10,0,0,0,10.952380952380953
"9,9",5,28,21.5,9,E10,0,0,0,14.141414141414142
"22,9","4,6",61,21.5,7,E10,0,1,0,12.253275109170305
"17,3",5,61,21.5,6,E10,1,1,0,17.630057803468205
"11,8","4,3",37,21.5,7,E10,0,0,0,13.483050847457626
"36,6","5,2",80,21.5,7,E10,0,1,0,11.366120218579233
"44,9","4,7",62,21.5,8,E10,0,0,0,6.489977728285079
"11,8","4,2",34,21.5,9,E10,0,1,0,12.101694915254237
"21,6","5,3",44,21.5,9,E10,0,1,0,10.796296296296296
"39,4","5,3",60,21.5,9,E10,0,1,0,8.071065989847716
"5,1","8,1",39,21.5,4,E10,0,0,0,61.94117647058824
"26,6","4,8",38,21.5,7,E10,0,0,0,6.857142857142857
"53,2","5,1",71,21.5,2,E10,0,0,0,6.806390977443608
"18,9","4,4",53,21.5,2,E10,0,0,0,12.33862433862434
"43,5",5,80,21.5,3,E10,0,0,0,9.195402298850574
"6,1","6,3",26,21.5,5,E10,0,0,0,26.852459016393443
"16,4","4,8",49,21.5,5,E10,0,0,0,14.341463414634148
"12,3","6,1",40,21.5,6,E10,0,0,0,19.83739837398374
"21,1","4,6",36,21.5,8,E10,0,0,0,7.8483412322274875
"21,1","4,8",43,21.5,7,E10,0,0,0,9.781990521327014
"22,7","4,7",55,21.5,6,E10,0,0,0,11.387665198237887
"44,4","4,8",38,21.5,8,E10,0,0,0,4.108108108108109
"35,8","4,4",51,21.5,6,E10,0,0,0,6.268156424581007
"11,8","4,9",44,21.5,0,E10,0,0,0,18.271186440677965
"26,2","4,9",42,21.5,6,E10,0,0,0,7.854961832061069
"40,6","4,4",44,21.0,3,E10,0,0,0,4.768472906403941
"12,4","5,3",38,21.0,-5,E10,0,0,0,16.241935483870964
"14,1","5,3",47,21.0,-3,E10,0,0,0,17.666666666666664
"58,7","4,8",75,21.0,0,E10,0,0,0,6.132879045996592
"16,2","5,2",29,21.0,0,E10,0,0,0,9.308641975308642
"12,3","4,9",50,22.5,0,E10,0,0,0,19.91869918699187
"12,3","7,1",52,22.5,0,E10,1,1,0,30.016260162601622
"12,4","5,2",51,22.5,1,E10,0,0,0,21.387096774193548
"31,8","4,7",59,22.5,3,E10,0,0,0,8.720125786163521
"12,3","5,1",55,22.5,8,E10,0,0,0,22.804878048780484
"51,6",5,73,22.5,12,E10,0,0,0,7.073643410852712
"38,6","4,6",44,22.5,10,E10,0,0,0,5.243523316062176
"12,3","4,8",41,22.5,7,E10,0,0,0,15.999999999999998
"81,2","4,4",69,22.0,13,E10,0,0,0,3.7389162561576357
"130,3","4,6",85,22.0,12,E10,0,0,0,3.0007674597083644
"67,2","4,3",67,22.0,18,E10,0,0,0,4.2872023809523805
"43,7","4,7",44,22.0,9,SP98,0,1,0,4.732265446224257
"12,1","4,2",43,22.0,4,SP98,0,0,0,14.925619834710744
"56,1","4,8",82,22.0,13,SP98,0,0,0,7.016042780748663
39,"4,1",61,22.0,16,SP98,0,0,0,6.412820512820512
"11,8","4,5",41,21.5,13,SP98,0,0,0,15.635593220338983
"38,5","4,8",63,21.5,14,SP98,0,0,0,7.8545454545454545
"28,2","4,6",54,21.5,14,SP98,0,0,0,8.808510638297872
"2,9","7,4",24,21.5,14,SP98,0,0,0,61.24137931034483
"6,1","5,6",24,21.5,13,SP98,0,0,0,22.0327868852459
"19,6","4,9",43,21.5,13,SP98,0,0,0,10.75
"22,2","3,8",42,,15,SP98,0,0,0,7.1891891891891895
"13,6","4,5",44,19.0,18,SP98,0,0,0,14.558823529411764
"12,6","4,1",33,,17,SP98,0,0,0,10.738095238095237
"8,7","5,3",28,22.5,12,SP98,1,1,0,17.057471264367816
"7,9","4,7",31,22.5,12,SP98,1,0,0,18.44303797468354
"2,4",9,26,20.0,10,SP98,0,0,0,97.5
"4,9","6,3",26,20.0,10,SP98,0,0,0,33.42857142857142
"18,1","3,6",36,20.0,19,SP98,0,0,0,7.160220994475138
"25,9","3,7",39,20.0,21,SP98,0,0,0,5.571428571428572
"1,3","11,5",21,20.0,10,SP98,0,0,0,185.76923076923077
"14,1",5,22,20.0,12,SP98,0,0,0,7.801418439716312
"13,4","5,5",31,20.0,9,SP98,0,0,0,12.723880597014924
"6,4","4,7",33,20.0,8,SP98,0,0,0,24.234375
"12,9","4,5",42,20.0,13,SP98,0,0,0,14.651162790697676
"12,1","4,4",33,22.5,5,SP98,0,0,0,12.000000000000002
"15,7","4,1",32,22.5,13,SP98,0,0,0,8.356687898089172
"16,2","4,4",26,22.5,11,SP98,0,0,0,7.06172839506173
"12,8","4,6",22,22.5,12,SP98,0,0,0,7.906249999999999
19,"4,4",58,22.5,17,SP98,0,0,1,13.431578947368422
29,4,27,22.5,12,SP98,0,0,0,3.7241379310344827
"12,1",5,32,22.5,9,SP98,0,0,0,13.223140495867769
"12,3","5,2",55,22.5,10,SP98,0,0,0,23.2520325203252
"24,8",4,56,22.5,11,SP98,0,0,0,9.032258064516128
"12,9","5,1",34,22.5,8,SP98,0,1,0,13.441860465116278
"11,8","4,5",39,22.5,3,SP98,0,0,0,14.872881355932202
"31,4","4,6",62,22.5,11,SP98,0,0,0,9.0828025477707
19,"5,1",53,22.5,4,SP98,0,1,0,14.226315789473684
13,"5,7",38,22.5,3,SP98,1,1,0,16.661538461538463
"11,8","4,8",42,22.5,2,SP98,0,0,0,17.08474576271186
13,"6,2",32,22.5,4,SP98,0,0,0,15.261538461538462
"11,8",5,43,22.5,1,SP98,0,0,0,18.220338983050848
"27,1",5,69,22.5,8,SP98,0,0,0,12.730627306273062
"5,2","4,6",38,22.5,8,SP98,0,0,0,33.61538461538461
19,"4,5",29,22.5,10,E10,0,0,0,6.868421052631579
"12,4","4,8",38,22.5,1,E10,0,0,0,14.709677419354838
"25,2",5,55,22.5,9,E10,0,0,0,10.912698412698413
"14,3","4,8",36,22.5,10,E10,0,0,0,12.083916083916083
"11,8","4,6",40,22.5,2,E10,0,0,0,15.593220338983048
"16,9","4,5",48,22.5,9,E10,0,0,1,12.781065088757398
"12,4","4,6",55,22.5,11,E10,0,0,1,20.40322580645161
"17,4","4,4",36,22.5,12,E10,0,0,1,9.10344827586207
"9,2","5,7",33,22.5,8,E10,0,1,0,20.445652173913047
"12,3","5,8",54,22.5,10,E10,0,1,0,25.46341463414634
13,"5,9",32,22.5,10,E10,0,0,0,14.523076923076925
"11,8","6,1",16,22.5,6,E10,0,1,0,8.271186440677965
13,"5,7",37,22.5,11,E10,0,1,0,16.223076923076924
"12,3",5,42,22.5,10,E10,0,0,0,17.073170731707318
"12,3","5,2",57,22.5,15,E10,0,0,1,24.097560975609753
"12,5","4,3",57,22.5,16,E10,0,0,1,19.607999999999997
"31,5","4,1",30,22.5,16,E10,0,0,1,3.904761904761904
"11,8","4,4",42,22.5,8,E10,0,0,0,15.661016949152543
"24,9","4,5",53,22.5,14,E10,0,0,0,9.578313253012048
17,"3,9",46,22.5,14,E10,0,0,1,10.552941176470588
2,"8,1",20,22.5,14,E10,0,0,0,81.0
"11,8","4,4",33,22.5,8,E10,0,0,0,12.305084745762713
"7,4",5,31,22.5,12,E10,0,0,0,20.945945945945944
"12,4","4,7",55,22.5,14,E10,0,0,1,20.846774193548388
2,6,22,22.5,14,E10,0,0,0,66.0
14,5,41,22.5,8,E10,0,0,0,14.642857142857142
"25,7",5,45,22.5,7,E10,0,0,0,8.754863813229573
"24,5","3,9",50,,15,E10,0,0,1,7.959183673469387
"11,8","4,5",28,22.5,12,E10,0,0,0,10.677966101694915
"4,1","5,4",24,22.5,13,E10,0,0,0,31.609756097560982
"4,2","5,6",29,22.0,17,E10,0,0,0,38.666666666666664
"4,2","3,9",29,22.0,18,E10,0,0,1,26.928571428571427
16,4,40,22.0,10,E10,0,0,0,10.0
"22,9",4,29,,21,E10,0,0,0,5.065502183406114
16,"3,8",42,,8,E10,0,0,0,9.975
"15,4","4,5",50,22.0,14,E10,0,0,0,14.61038961038961
16,"3,8",41,22.0,12,E10,0,0,0,9.737499999999999
"4,2","5,6",32,22.0,18,E10,0,0,0,42.666666666666664
"101,9","5,2",75,22.0,18,E10,0,0,0,3.8272816486751715
"93,9","4,8",88,23.0,18,E10,1,0,1,4.498402555910543
"25,7","4,9",50,22.0,10,SP98,0,1,0,9.533073929961091
16,"4,1",40,22.0,10,SP98,0,0,0,10.25
"16,1","4,5",32,22.0,19,SP98,0,0,0,8.944099378881987
16,"4,4",40,22.0,7,SP98,1,1,0,11.0
16,"4,5",41,22.0,11,SP98,0,0,0,11.53125
"24,7","4,5",26,22.0,10,SP98,0,0,0,4.7368421052631575
16,"3,9",42,22.0,8,SP98,0,0,0,10.237499999999999
"15,4","4,6",43,22.0,16,SP98,0,0,0,12.844155844155843
16,"3,8",40,22.0,8,SP98,0,0,0,9.5
"32,1","4,5",50,22.0,16,SP98,0,0,0,7.009345794392523
"25,9","4,4",40,22.0,14,SP98,0,0,0,6.795366795366796
"48,6","4,3",44,22.0,12,SP98,0,0,0,3.8930041152263373
"37,2",4,45,22.0,20,SP98,0,0,1,4.838709677419354
"28,8","3,9",35,22.0,15,SP98,0,0,1,4.739583333333333
"6,7",5,30,22.0,17,SP98,0,0,0,22.388059701492537
"7,4","4,1",25,22.0,18,SP98,0,0,1,13.851351351351349
"17,3","4,1",22,22.0,25,SP98,0,0,1,5.213872832369941
"6,6","5,6",43,22.0,16,SP98,0,0,0,36.484848484848484
"14,3","4,1",26,22.0,20,SP98,0,0,0,7.454545454545453
"13,3","4,6",33,22.0,18,SP98,0,0,0,11.413533834586465
"8,3","4,9",26,22.0,23,SP98,0,0,0,15.349397590361447
"12,7","4,5",39,22.0,27,SP98,0,0,1,13.818897637795278
"16,5","4,1",47,22.0,14,SP98,0,0,0,11.678787878787878
"20,6","4,1",38,22.0,21,SP98,0,0,0,7.563106796116504
"16,3","4,5",58,22.0,16,SP98,0,0,0,16.012269938650306
"18,7","4,2",65,25.0,18,SP98,1,0,1,14.598930481283423
"36,5","3,9",54,23.0,18,SP98,0,0,1,5.76986301369863
19,5,35,22.0,15,SP98,1,0,1,9.210526315789473
"16,6","4,4",46,22.0,5,SP98,1,0,0,12.19277108433735
"29,9","4,5",32,22.0,18,SP98,1,0,0,4.816053511705686
16,"3,8",42,22.0,11,SP98,0,0,0,9.975
"21,1","5,1",33,22.0,10,SP98,0,1,0,7.976303317535544
16,"3,9",40,22.0,10,SP98,0,0,0,9.75
"11,9","5,3",34,22.0,13,SP98,0,0,0,15.142857142857142
"10,1","4,2",35,22.0,16,SP98,0,0,0,14.554455445544555
"31,9","4,3",33,22.0,16,SP98,0,0,0,4.448275862068966
"18,7",4,60,22.0,13,SP98,0,0,0,12.834224598930481
"10,8","4,7",48,22.0,17,SP98,0,0,1,20.88888888888889
"19,8",4,56,22.0,17,SP98,0,0,1,11.313131313131313
"11,3","4,3",38,22.0,17,SP98,0,0,0,14.460176991150442
"11,5","5,3",53,22.0,15,SP98,0,0,0,24.42608695652174
"21,4","5,2",51,22.0,13,SP98,0,0,0,12.392523364485983
32,"4,9",53,22.0,15,SP98,0,0,0,8.115625000000001
"41,9","4,7",53,22.0,14,SP98,0,0,0,5.94510739856802
211,"4,6",80,22.0,20,SP98,0,0,0,1.7440758293838863
"216,1","5,3",90,22.0,21,SP98,0,0,1,2.2073114298935677
"25,5","3,6",27,22.0,27,SP98,0,0,1,3.8117647058823527
"16,6","4,2",52,22.0,15,SP98,0,1,0,13.156626506024095
"25,9","4,1",43,22.0,24,SP98,0,0,0,6.806949806949807
"16,5",4,48,22.0,15,SP98,0,0,0,11.636363636363637
"22,1","3,9",29,22.0,26,SP98,0,0,0,5.117647058823529
"16,6","3,7",49,22.0,17,E10,0,0,0,10.921686746987952
"15,4","4,5",43,22.0,24,E10,0,0,0,12.564935064935064
"16,5","3,9",43,22.0,17,E10,0,0,0,10.163636363636364
"15,4","5,1",21,22.0,24,E10,0,0,0,6.954545454545453
"18,4","4,2",59,22.0,24,E10,0,0,0,13.467391304347826
"39,5","4,2",58,22.0,25,E10,0,0,0,6.167088607594937
"21,5","4,8",47,25.0,27,E10,1,0,1,10.493023255813954
"4,8","4,7",26,25.0,18,E10,0,0,0,25.458333333333336
"100,9","4,7",87,23.5,22,E10,0,0,0,4.052527254707631
"129,7","4,6",58,24.0,21,E10,0,0,0,2.0570547417116423
"16,6","3,8",43,21.5,16,E10,0,0,0,9.843373493975902
"15,4","4,2",50,21.5,21,E10,0,0,0,13.636363636363635
16,"3,7",45,22.0,17,E10,0,0,0,10.40625
16,"4,2",41,22.0,15,E10,0,0,0,10.762500000000001
"15,4","4,1",45,22.0,24,E10,0,0,0,11.98051948051948
16,4,43,22.0,16,E10,0,0,0,10.75
21,"3,8",37,22.0,21,E10,0,0,0,6.695238095238095
"15,4","3,8",47,22.0,24,E10,0,0,0,11.597402597402596
16,"3,8",42,22.0,17,E10,0,0,0,9.975
"16,1","5,1",30,25.0,16,E10,1,1,0,9.503105590062109
16,4,42,22.0,15,E10,0,0,0,10.5
"15,4","4,8",40,22.0,18,E10,0,0,0,12.467532467532468
"17,2","3,9",35,22.0,16,E10,0,0,0,7.936046511627907
"16,6","4,6",50,22.0,25,E10,0,0,0,13.855421686746986
"18,3","4,3",46,22.0,16,SP98,0,0,0,10.808743169398907
"16,1","4,8",36,22.0,18,SP98,0,1,0,10.732919254658384
16,"4,1",46,22.0,17,SP98,0,0,0,11.7875
"16,3",4,35,22.0,23,SP98,0,0,0,8.588957055214724
16,"3,7",44,22.0,16,SP98,0,0,0,10.175
"18,3","4,3",46,22.0,23,SP98,0,0,0,10.808743169398907
"4,5","5,2",23,22.0,23,SP98,0,0,1,26.57777777777778
17,"4,2",48,22.0,16,SP98,0,0,0,11.858823529411765
"6,1",5,35,24.5,18,SP98,0,0,0,28.688524590163937
"6,1",5,33,22.0,24,SP98,0,0,1,27.049180327868854
"17,3","4,2",36,22.0,22,SP98,0,0,0,8.739884393063583
6,"4,8",27,22.0,17,SP98,0,0,0,21.599999999999998
16,"4,1",45,22.0,15,SP98,0,0,0,11.531249999999998
"15,4","4,9",55,22.0,18,SP98,0,0,0,17.5
"15,4","4,3",39,22.0,23,SP98,0,0,0,10.88961038961039
16,"3,9",35,22.0,18,SP98,0,0,0,8.53125
"15,4","4,5",52,22.0,26,SP98,0,0,0,15.194805194805195
"16,6","4,1",48,25.5,30,SP98,1,0,1,11.855421686746986
"15,4",5,48,25.5,31,SP98,1,0,0,15.584415584415584
16,4,43,22.0,21,SP98,1,0,0,10.75
"15,4","4,5",42,22.0,30,SP98,0,0,0,12.272727272727272
16,"3,6",43,22.0,19,SP98,0,0,0,9.675
"20,9","4,1",33,22.0,21,SP98,0,0,0,6.473684210526316
"32,1","3,9",47,22.0,26,SP98,0,0,0,5.710280373831775
"15,3","6,6",16,24.0,27,SP98,1,0,0,6.901960784313725
"28,5",4,44,25.0,23,SP98,1,0,0,6.175438596491228
"11,9","3,7",33,25.0,19,SP98,0,0,0,10.260504201680673
"14,5","4,3",36,25.0,22,SP98,0,0,0,10.675862068965516
"16,6","4,1",49,22.0,26,SP98,0,0,1,12.102409638554215
"16,2","4,4",39,24.5,17,SP98,1,0,0,10.592592592592593
"16,7","3,8",44,24.5,23,SP98,0,0,1,10.011976047904191
"8,3",5,52,24.5,27,SP98,0,0,0,31.325301204819276
"5,5","3,7",33,24.5,28,SP98,0,0,1,22.2
"13,6","3,7",33,24.5,28,SP98,0,0,1,8.977941176470589
16,"3,7",39,24.5,18,SP98,0,0,0,9.01875
"16,1","4,3",38,25.0,31,SP98,1,0,0,10.149068322981364
16,"3,8",45,25.0,19,SP98,0,0,0,10.6875
"15,4","4,6",42,25.0,31,SP98,1,0,0,12.545454545454545
"14,7",5,25,25.0,30,SP98,1,0,0,8.503401360544217
